Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Status
"lumenred-forge-s-full-body-panel-1","Lumenred Forge S Full Body Panel","<p>Lumenred Forge S Full Body Panel delivers clinical-style red and near-infrared coverage with 660nm diodes, 300 LEDs, and roughly 120W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 660nm</li><li>LEDs: 300</li><li>Power: 120W</li><li>Size: 36"" × 16""</li><li>Finish: Brushed Steel</li></ul>","Lumenred","Full Body Panels","full-body-panels, 660nm, panel, full-body","TRUE","Finish","Brushed Steel","LR-0001","2500","shopify","25","deny","manual","899.00","1007.00","TRUE","TRUE","active"
"lumenred-pulse-m-full-body-panel-2","Lumenred Pulse M Full Body Panel","<p>Lumenred Pulse M Full Body Panel delivers clinical-style red and near-infrared coverage with 850nm diodes, 345 LEDs, and roughly 138W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 850nm</li><li>LEDs: 345</li><li>Power: 138W</li><li>Size: 42"" × 18""</li><li>Finish: Soft Black</li></ul>","Lumenred","Full Body Panels","full-body-panels, 850nm, panel, full-body","TRUE","Finish","Soft Black","LR-0002","2500","shopify","25","deny","manual","1049.00","1175.00","TRUE","TRUE","active"
"lumenred-aura-l-full-body-panel-3","Lumenred Aura L Full Body Panel","<p>Lumenred Aura L Full Body Panel delivers clinical-style red and near-infrared coverage with 660/850nm diodes, 390 LEDs, and roughly 156W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 660/850nm</li><li>LEDs: 390</li><li>Power: 156W</li><li>Size: 48"" × 20""</li><li>Finish: Arctic White</li></ul>","Lumenred","Full Body Panels","full-body-panels, 660/850nm, panel, full-body","TRUE","Finish","Arctic White","LR-0003","2500","shopify","25","deny","manual","1199.00","1343.00","TRUE","TRUE","active"
"lumenred-vertex-xl-full-body-panel-4","Lumenred Vertex XL Full Body Panel","<p>Lumenred Vertex XL Full Body Panel delivers clinical-style red and near-infrared coverage with 630/660/850nm diodes, 435 LEDs, and roughly 174W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 630/660/850nm</li><li>LEDs: 435</li><li>Power: 174W</li><li>Size: 54"" × 16""</li><li>Finish: Matte Graphite</li></ul>","Lumenred","Full Body Panels","full-body-panels, 630/660/850nm, panel, full-body","TRUE","Finish","Matte Graphite","LR-0004","2500","shopify","25","deny","manual","1229.00","1376.00","TRUE","TRUE","active"
"lumenred-halo-pro-full-body-panel-5","Lumenred Halo Pro Full Body Panel","<p>Lumenred Halo Pro Full Body Panel delivers clinical-style red and near-infrared coverage with 660/810/850nm diodes, 480 LEDs, and roughly 192W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 660/810/850nm</li><li>LEDs: 480</li><li>Power: 192W</li><li>Size: 60"" × 18""</li><li>Finish: Brushed Steel</li></ul>","Lumenred","Full Body Panels","full-body-panels, 660/810/850nm, panel, full-body","TRUE","Finish","Brushed Steel","LR-0005","2500","shopify","25","deny","manual","1379.00","1544.00","TRUE","TRUE","active"
"lumenred-stride-s-full-body-panel-6","Lumenred Stride S Full Body Panel","<p>Lumenred Stride S Full Body Panel delivers clinical-style red and near-infrared coverage with 630/660/810/850nm diodes, 525 LEDs, and roughly 210W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 630/660/810/850nm</li><li>LEDs: 525</li><li>Power: 210W</li><li>Size: 36"" × 20""</li><li>Finish: Soft Black</li></ul>","Lumenred","Full Body Panels","full-body-panels, 630/660/810/850nm, panel, full-body","TRUE","Finish","Soft Black","LR-0006","2500","shopify","25","deny","manual","1529.00","1712.00","TRUE","TRUE","active"
"lumenred-nova-m-full-body-panel-7","Lumenred Nova M Full Body Panel","<p>Lumenred Nova M Full Body Panel delivers clinical-style red and near-infrared coverage with 660nm diodes, 570 LEDs, and roughly 228W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 660nm</li><li>LEDs: 570</li><li>Power: 228W</li><li>Size: 42"" × 16""</li><li>Finish: Arctic White</li></ul>","Lumenred","Full Body Panels","full-body-panels, 660nm, panel, full-body","TRUE","Finish","Arctic White","LR-0007","2500","shopify","25","deny","manual","1559.00","1746.00","TRUE","TRUE","active"
"lumenred-ridge-l-full-body-panel-8","Lumenred Ridge L Full Body Panel","<p>Lumenred Ridge L Full Body Panel delivers clinical-style red and near-infrared coverage with 850nm diodes, 615 LEDs, and roughly 246W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 850nm</li><li>LEDs: 615</li><li>Power: 246W</li><li>Size: 48"" × 18""</li><li>Finish: Matte Graphite</li></ul>","Lumenred","Full Body Panels","full-body-panels, 850nm, panel, full-body","TRUE","Finish","Matte Graphite","LR-0008","2500","shopify","25","deny","manual","1709.00","1914.00","TRUE","TRUE","active"
"lumenred-solace-xl-full-body-panel-9","Lumenred Solace XL Full Body Panel","<p>Lumenred Solace XL Full Body Panel delivers clinical-style red and near-infrared coverage with 660/850nm diodes, 660 LEDs, and roughly 264W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 660/850nm</li><li>LEDs: 660</li><li>Power: 264W</li><li>Size: 54"" × 20""</li><li>Finish: Brushed Steel</li></ul>","Lumenred","Full Body Panels","full-body-panels, 660/850nm, panel, full-body","TRUE","Finish","Brushed Steel","LR-0009","2500","shopify","25","deny","manual","1859.00","2082.00","TRUE","TRUE","active"
"lumenred-axiom-pro-full-body-panel-10","Lumenred Axiom Pro Full Body Panel","<p>Lumenred Axiom Pro Full Body Panel delivers clinical-style red and near-infrared coverage with 630/660/850nm diodes, 705 LEDs, and roughly 282W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 630/660/850nm</li><li>LEDs: 705</li><li>Power: 282W</li><li>Size: 60"" × 16""</li><li>Finish: Soft Black</li></ul>","Lumenred","Full Body Panels","full-body-panels, 630/660/850nm, panel, full-body","TRUE","Finish","Soft Black","LR-0010","2500","shopify","25","deny","manual","1889.00","2116.00","TRUE","TRUE","active"
